MeterId,Fac Id,Desc,Date,VolYdy,Casing,Tubing,Static
49037132E,BARCAD_41_6_MH_2,Barricade 41-6 MH 2,2/1/2021,745.2659,,,27.79403007
49037143E,BARCAD_41_SW_6D,Barricade 41 SW-6D,2/1/2021,165.3318,,,23.0201907
49037097E,BARCAD_S31_1116_CP,Barricade 1595-S31-11V-16V Check,2/1/2021,1356.079,,,192.7352636
49037150E,BARCAD_UNIT_11_7,Barricade Unit 11-7,2/1/2021,,,,
49037151E,BARCAD_UNIT_14_1_CP,Barricade Unit 14-1 CP,2/1/2021,677.1917,,,215.2591311
49037152E,BARCAD_UNIT_14_1H_1,Barricade Unit 14-1H 1,2/1/2021,621.351,,,84.92055835
49037153E,BARCAD_UNIT_14_1V,Barricade Unit 14-1V,2/1/2021,128.9212,,,326.5989382
49037110E,BARCAD_UNIT_24_36,Barricade Unit 24-36,2/1/2021,140.1253,,,102.9758041
49037149E,BARCAD_UNIT_44_1S2M,BARRICADE 44-1 SWD BB,2/1/2021,17.80407,,,119.7122298
49037159E,CEPO_FEDERAL_03_19ST,Cepo Federal  03-19ST,2/1/2021,,,,
49037166E,CEPO_FEDERAL_20_17,Cepo Federal  20-17,2/1/2021,1091.545,,,216.086443
49037167E:49037168E,CEPO_FEDERAL_23_07_M,Cepo Federal  23-07 M,2/1/2021,155.56,,,217.0159237
49037193E,ENDUR_41_29_CP,Endurance 41-29 CP,2/1/2021,875.0161,,,181.6453841
49037194E,ENDUR_41_29_S1LH_2,Endurance 41-29 S1LH 2,2/1/2021,233.682,,,59.32984362
49037195E,ENDUR_41_29_S1MH_2,Endurance 41-29 S1MH 2,2/1/2021,158.004,,,59.3429225
49037196E,ENDUR_41_29_S1UH_2,Endurance 41-29 S1UH 2,2/1/2021,592.6887,,,64.18730977
49037174E:49037173E,ENDUR_S29_18V_ALL,Endurance S29 18V Allocation,2/1/2021,318.9758,,,49.71891204
49037178E:49037190E,ENDUR_S29_29V_ALL,Endurance S29 29V Allocation,2/1/2021,137.9882,,,44.51388753
49037179E:49037181E,ENDUR_S32_13V_ALL,Endurance S32 13V Allocation,2/1/2021,177.38,,,52.05839677
49037179E:49037184E,ENDUR_S32_19V_ALL,Endurance S32 19V Allocation,2/1/2021,167.8696,,,57.49505371
49037179E:49037185E,ENDUR_S32_21V_ALL,Endurance S32 21V Allocation,2/1/2021,94.20573,,,43.09285594
